Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
graphene,none,koh,1.0,321.2,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0,0,32,5,14
porous carbon,none,koh,1.0,744.5,0.65,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0,0,36,5,14
NB-doped graphene,none,h2so4,0.8,249.0,0.0,3.2,0.0,0.0,1.19,3.0,0.0,0.6,0.0,0.0,0.0,239.0,0,0,17,5,9
B-doped graphene,none,h2so4,0.8,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.6,0.0,0.0,0.0,228.0,0,0,5,5,9
N-doped graphene,none,h2so4,0.8,0.0,0.0,0.0,0.0,0.0,1.14,3.0,0.0,0.0,0.0,0.0,0.0,190.0,0,0,15,5,9
graphene,none,h2so4,0.8,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0,0,32,5,9
porous carbon,none,h2so4,0.9,2053.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,1854.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,1633.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0,36,5,9
